casilla_id,municipio,df,dl,casilla,ubicación,capturista_id,id
38,1,7,16,12 C7,"JARDIN DE NIÑOS MARIANO ESCOBEDO, BOULEVARD SECTOR NOROESTE, SIN NÚMERO, FRACCIONAMIENTO VILLA DEL PRADO, PRIMERA SECCIÓN, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA., ESQUINA CON CALLE CALÉNDULA",1,38
39,1,3,16,15 B,"ESCUELA SECUNDARIA TÉCNICA NÚMERO 28, BOULEVARD DAVID H SOKOLOW, SIN NÚMERO, FRACCIONAMIENTO LOMITAS INDECO, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ESQUINA CON CALLE PINO",1,39
40,1,3,16,15 C1,"ESCUELA SECUNDARIA TÉCNICA NÚMERO 28, BOULEVARD DAVID H SOKOLOW, SIN NÚMERO, FRACCIONAMIENTO LOMITAS INDECO, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ESQUINA CON CALLE PINO",1,40
41,1,3,16,15 C2,"ESCUELA SECUNDARIA TÉCNICA NÚMERO 28, BOULEVARD DAVID H SOKOLOW, SIN NÚMERO, FRACCIONAMIENTO LOMITAS INDECO, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ESQUINA CON CALLE PINO",1,41
42,1,3,16,16 B,"DOMICILIO PARTICULAR, CALLE LA HAYA , NÚMERO 157, FRACCIONAMIENTO LOMITAS INDECO, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA GERANIOS Y AVENIDA ALHELIES JUNTO A PAPELERIA YMAX",1,42
43,1,3,16,16 C1,"DOMICILIO PARTICULAR, CALLE LA HAYA , NÚMERO 157, FRACCIONAMIENTO LOMITAS INDECO, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA GERANIOS Y AVENIDA ALHELIES JUNTO A PAPELERIA YMAX",1,43
44,1,3,16,16 C2,"DOMICILIO PARTICULAR, CALLE LA HAYA , NÚMERO 157, FRACCIONAMIENTO LOMITAS INDECO, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA GERANIOS Y AVENIDA ALHELIES JUNTO A PAPELERIA YMAX",1,44
45,1,3,16,17 B,"CENTRO DE CAPACITACIÓN TÉCNICO INDUSTRIAL NÚMERO 83, CECATI, BOULEVARD DAVID H SOKOLOW, SIN NÚMERO, FRACCIONAMIENTO LOMITAS INDECO, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES CEDROS Y SIN NOMBRE",1,45
46,1,3,16,17 C1,"CENTRO DE CAPACITACIÓN TÉCNICO INDUSTRIAL NÚMERO 83, CECATI, BOULEVARD DAVID H SOKOLOW, SIN NÚMERO, FRACCIONAMIENTO LOMITAS INDECO, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES CEDROS Y SIN NOMBRE",1,46
47,1,3,16,17 C2,"CENTRO DE CAPACITACIÓN TÉCNICO INDUSTRIAL NÚMERO 83, CECATI, BOULEVARD DAVID H SOKOLOW, SIN NÚMERO, FRACCIONAMIENTO LOMITAS INDECO, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES CEDROS Y SIN NOMBRE",1,47
48,1,3,16,17 E1,,,48
49,1,3,16,18 B,"ESCUELA PRIMARIA CARMEN SERDÁN., AVENIDA DE LOS MANZANOS, NÚMERO 100, FRACCIONAMIENTO LOMAS DE VALLE VERDE, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES DE LAS AMAPOLAS Y DE LAS MORAS.",1,49
50,1,3,16,18 C1,"ESCUELA PRIMARIA CARMEN SERDÁN., AVENIDA DE LOS MANZANOS, NÚMERO 100, FRACCIONAMIENTO LOMAS DE VALLE VERDE, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES DE LAS AMAPOLAS Y DE LAS MORAS.",1,50
51,1,3,16,18 C2,"ESCUELA PRIMARIA CARMEN SERDÁN., AVENIDA DE LOS MANZANOS, NÚMERO 100, FRACCIONAMIENTO LOMAS DE VALLE VERDE, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES DE LAS AMAPOLAS Y DE LAS MORAS.",1,51
52,1,3,15,19 B,"ESCUELA NORMAL ESTATAL ENSENADA, CALLE DE LAS ROSAS, SIN NÚMERO, FRACCIONAMIENTO VALLE VERDE, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA DE LOS EUCALIPTOS Y CALLE DE LOS PIRULES",1,52
53,1,3,15,19 C1,"ESCUELA NORMAL ESTATAL ENSENADA, CALLE DE LAS ROSAS, SIN NÚMERO, FRACCIONAMIENTO VALLE VERDE, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA DE LOS EUCALIPTOS Y CALLE DE LOS PIRULES",1,53
54,1,7,15,20 B,"JARDÍN DE NIÑOS ESTATAL LUZ MARÍA SERRADEL, AVENIDA REFORMA Y PASO DE SERVICIO, SIN NÚMERO, FRACCIONAMIENTO MEDITERRÁNEO, CÓDIGO POSTAL 22818, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES ÁMBAR Y NÁPOLES.",1,54
55,1,7,15,20 C1,"JARDÍN DE NIÑOS ESTATAL LUZ MARÍA SERRADEL, AVENIDA REFORMA Y PASO DE SERVICIO, SIN NÚMERO, FRACCIONAMIENTO MEDITERRÁNEO, CÓDIGO POSTAL 22818, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES ÁMBAR Y NÁPOLES.",1,55
56,1,7,15,20 C2,"JARDÍN DE NIÑOS ESTATAL LUZ MARÍA SERRADEL, AVENIDA REFORMA Y PASO DE SERVICIO, SIN NÚMERO, FRACCIONAMIENTO MEDITERRÁNEO, CÓDIGO POSTAL 22818, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES ÁMBAR Y NÁPOLES.",1,56
